index,элемент,элемент битный,элемент битный алгоритм
doc_15.txt_элемент,2.8199855716599344e-05,2.8199855716599344e-05,2.8199855716599344e-05
doc_29.txt_элемент,9.588821007298853e-05,9.588821007298853e-05,9.588821007298853e-05
doc_28.txt_элемент,4.71754195738579e-05,4.71754195738579e-05,4.71754195738579e-05
doc_14.txt_элемент,3.241084390822761e-05,3.241084390822761e-05,3.241084390822761e-05
doc_16.txt_элемент,4.372197543865248e-05,4.372197543865248e-05,4.372197543865248e-05
doc_17.txt_элемент,6.586678841649482e-05,6.586678841649482e-05,6.586678841649482e-05
doc_13.txt_элемент,5.2076717577809104e-05,5.2076717577809104e-05,5.2076717577809104e-05
doc_12.txt_элемент,7.782058404462664e-05,7.782058404462664e-05,7.782058404462664e-05
doc_100.txt_элемент,2.5483146262401052e-05,2.5483146262401052e-05,2.5483146262401052e-05
doc_38.txt_элемент,3.289890891566541e-05,3.289890891566541e-05,3.289890891566541e-05
doc_10.txt_элемент,0.00010400820961866404,0.00010400820961866404,0.00010400820961866404
doc_11.txt_элемент,4.052611123639489e-05,4.052611123639489e-05,4.052611123639489e-05
doc_39.txt_элемент,7.791828167823569e-05,7.791828167823569e-05,7.791828167823569e-05
doc_89.txt_элемент,4.464326921371805e-05,4.464326921371805e-05,4.464326921371805e-05
doc_62.txt_элемент,1.5026116943468821e-05,1.5026116943468821e-05,1.5026116943468821e-05
doc_76.txt_элемент,0.00011258202048699791,0.00011258202048699791,0.00011258202048699791
doc_77.txt_элемент,3.060485786790479e-05,3.060485786790479e-05,3.060485786790479e-05
doc_63.txt_элемент,5.8859257652937336e-05,5.8859257652937336e-05,5.8859257652937336e-05
doc_88.txt_элемент,3.777569106075205e-05,3.777569106075205e-05,3.777569106075205e-05
doc_9.txt_элемент,7.156131873852257e-05,7.156131873852257e-05,7.156131873852257e-05
doc_75.txt_элемент,4.562985319124718e-05,4.562985319124718e-05,4.562985319124718e-05
doc_61.txt_элемент,0.00018114595614169123,0.00018114595614169123,0.00018114595614169123
doc_49.txt_элемент,6.523559081644443e-05,6.523559081644443e-05,6.523559081644443e-05
doc_48.txt_элемент,4.8784978267490655e-05,4.8784978267490655e-05,4.8784978267490655e-05
doc_60.txt_элемент,4.7650650845297185e-05,4.7650650845297185e-05,4.7650650845297185e-05
doc_74.txt_элемент,9.16726439314448e-05,9.16726439314448e-05,9.16726439314448e-05
doc_8.txt_элемент,4.406205070267626e-05,4.406205070267626e-05,4.406205070267626e-05
doc_58.txt_элемент,3.6680049647371305e-05,3.6680049647371305e-05,3.6680049647371305e-05
doc_70.txt_элемент,8.960375834242355e-05,8.960375834242355e-05,8.960375834242355e-05
doc_64.txt_элемент,2.933334566160659e-05,2.933334566160659e-05,2.933334566160659e-05
doc_65.txt_элемент,2.5973647545250287e-05,2.5973647545250287e-05,2.5973647545250287e-05
doc_71.txt_элемент,3.447636448115823e-05,3.447636448115823e-05,3.447636448115823e-05
doc_59.txt_элемент,7.000872008085392e-05,7.000872008085392e-05,7.000872008085392e-05
doc_98.txt_элемент,2.8750663589943382e-05,2.8750663589943382e-05,2.8750663589943382e-05
doc_67.txt_элемент,5.445814781753858e-05,5.445814781753858e-05,5.445814781753858e-05
doc_73.txt_элемент,5.773572586226793e-05,5.773572586226793e-05,5.773572586226793e-05
doc_72.txt_элемент,0.00019404838494535944,0.00019404838494535944,0.00019404838494535944
doc_66.txt_элемент,5.3129070850513965e-05,5.3129070850513965e-05,5.3129070850513965e-05
doc_99.txt_элемент,3.667365670813432e-05,3.667365670813432e-05,3.667365670813432e-05
